name
G. K. Chesterton
China Miéville
James A. Michener
Veronica Roth
J. R. Ward
Hunter S. Thompson
Laurie R. King
Hergé
Jose Saramago
Stuart Woods
Greg Bear
Better Homes and Gardens
Georges Simenon
Bill Willingham
W. Somerset Maugham
Janette Oke
René Goscinny
Tracy Chevalier
Gordon Korman
Gustave Flaubert
Avi
Johann Wolfgang von Goethe
Tony Hillerman
Raymond Chandler
Sarah Dessen
Arthur Golden
R. C. Sproul
Jonathan Safran Foer
Harry Harrison
Susan Cooper
Stephen Hawking
Johanna Lindsey
Tom Robbins
Kate Atkinson
T. S. Eliot
David Foster Wallace
Sigmund Freud
Jack Canfield
Lisa Kleypas
Jeffrey Archer
Katherine Paterson
Julie Garwood
Daniel Defoe
Aristotle
Carl Sagan
Rachel Caine
Jon Scieszka
Margaret Peterson Haddix
Julia Quinn
Karen Kingsbury
Michel Foucault
David Brin
Henry David Thoreau
Tom Wolfe
L. J. Smith
Elie Wiesel
Augustine
Harry Turtledove
Laurie Halse Anderson
Warren Ellis
Erik Larson
Frank McCourt
Kim Stanley Robinson
H. A. Rey
James Herriot
Charles Stross
Jude Deveraux
Mary Stewart
Ann Patchett
Arnold Lobel
Willa Cather
Jan Karon
A. S. Byatt
J. M. Coetzee
Augusten Burroughs
Dav Pilkey
Thomas Harris
Erin Hunter
Connie Willis
Linda Howard
Gene Wolfe
Jonathan Franzen
Mary Balogh
Marcel Proust
Frederik Pohl
Melvin Berger
Geoffrey Chaucer
Bill Martin Jr.
Karl Marx
National Geographic Society
Patricia C. Wrede
Robin Cook
Robert Munsch
Samuel Beckett
Peter F. Hamilton
Sara Gruen
John Scalzi
Timothy Zahn
Ann Brashares
Andrew Clements
Guy Gavriel Kay
William S. Burroughs
Julian Barnes
L. E. Modesitt Jr.
Aleksandr Solzhenitsyn
Robert Graves
Dennis Lehane
Francine Pascal
Jean Plaidy
Miguel de Cervantes
Jhumpa Lahiri
Beverly Lewis
Richard P. Feynman
Donna Leon
Elmore Leonard
Richard Adams
Helen Fielding
Robert Kirkman
MaryJanice Davidson
Scott Adams
Michael Pollan
Steven Brust
Alice Walker
Jean Craighead George
Leo Lionni
Donna Tartt
Arthur Miller
Bret Easton Ellis
Nelson DeMille
Geraldine Brooks
Lawrence Block
Doris Lessing
Larry McMurtry
Steven D. Levitt
Oliver Sacks
Annie Proulx
Jeanette Winterson
Jean Marzollo
Honoré de Balzac
James Lee Burke
Wally Lamb
Noam Chomsky
Maurice Sendak
Jonathan Swift
Sharon Creech
Charles Spurgeon
Kathryn Lasky
Joseph Campbell
Stephen E. Ambrose
Valerie Tripp
Anton Chekhov
Simon R. Green
Susanna Clarke
Philip José Farmer
Wilkie Collins
Kevin J. Anderson
Sophocles
Peter David
Zadie Smith
Jennifer Crusie
Frank Miller
Eve Bunting
Jacqueline Carey
J. A. Jance
John R. W. Stott
Simon Winchester
Voltaire
Niccolò Machiavelli
Anne Frank
Patricia Polacco
Jo Nesbø
Jacob Grimm
Stephanie Laurens
J.G. Ballard
Barbara Hambly
Merriam-Webster
Iain Banks
William Barclay
Hans Christian Andersen
Diane Duane
Sidney Sheldon
Sir Walter Scott
Ted Dekker
Ron Roy
Collectif
Elizabeth Gilbert
Grant Morrison
Gary Larson
Tanya Huff
Unknown
Jennifer Weiner
Elizabeth Moon
Arturo Pérez-Reverte
Bertrand Russell
Michael Ondaatje
Gail Carson Levine
Dave Barry
Jack Vance
Jostein Gaarder
Karen Armstrong
Karen Marie Moning
Saul Bellow
Gillian Flynn
Philip Yancey
Geronimo Stilton
Naomi Novik
James Rollins
Glen Cook
Sarah Waters
Astrid Lindgren
Pearl S. Buck
Joanne Harris
Libba Bray
D. A. Carson
Ken Kesey
Joss Whedon
Kathryn Stockett
Vince Flynn
Alastair Reynolds
Karin Slaughter
Maya Angelou
Ben Bova
Warren W. Wiersbe
Lora Leigh
Alison Weir
Octavia E. Butler
Stephen R. Lawhead
Harold Bloom
C. S. Forester
Walt Disney
C. G. Jung
Virgil
Henri J. M. Nouwen
Andrea Camilleri
Wilbur Smith
Robert Crais
Paul Theroux
Marian Keyes
William Goldman
Louise Erdrich
Gordon R. Dickson
Maggie Stiefvater
Stephen R. Covey
Anne Bishop
Anne Lamott
Doreen Cronin
Brian Michael Bendis
Thomas Merton
Gore Vidal
Katherine Kurtz
Stephen Jay Gould
Martha Grimes
Peggy Parish
Art Spiegelman
John D. MacDonald
Patricia A. McKillip
Ed McBain
Fern Michaels
Frederick Forsyth
Daniel Silva
Orhan Pamuk
Henry Miller
Thomas L. Friedman
Rumiko Takahashi
Jonathan London
Natsuki Takaya
James Ellroy
James Dashner
Rita Mae Brown
Ngaio Marsh
Thich Nhat Hanh
Darren Shan
Colleen McCullough
Frank E. Peretti
Garth Ennis
Gail Gibbons
Martin Amis
George MacDonald
Walter Dean Myers
T. C. Boyle
J. I. Packer
Richard Russo
Robert Harris
Dashiell Hammett
Harlan Ellison
Elizabeth Kostova
Tami Hoag
Joe Haldeman
Dalai Lama XIV
E. L. Konigsburg
Tanith Lee
Sandra Boynton
John Milton
Brian Herbert
Suzanne Brockmann
Gena Showalter
Steven Erikson
David Shannon
Richard Scarry
Scott O'Dell
David Gemmell
Ilona Andrews
N. T. Wright
David Martyn Lloyd-Jones
Peter Ackroyd
Jack Higgins
George Bernard Shaw
Mikhail Bulgakov
Jeff Smith
Sheri S. Tepper
Lisa See
Steve Berry
Mike Carey
W.E.B. Griffin
Elizabeth Berg
T. H. White
Lynsay Sands
David Drake
Jeannette Walls
Tennessee Williams
Sherman Alexie
Hilary Mantel
Marguerite Henry
Søren Kierkegaard
Iris Murdoch
Joan Didion
Lisa Gardner
Peter Robinson
Martin Luther
Shannon Hale
Anita Diamant
Alice Munro
Daisy Meadows
Ezra Jack Keats
Mike Thaler
Audrey Wood
John C. Maxwell
Chinua Achebe
Jonathan Stroud
Robertson Davies
Francine Rivers
Mary Roach
Robert E. Howard
Louise Penny
Phyllis Reynolds Naylor
Linda Lael Miller
Elizabeth Lowell
Lisa Scottoline
Christopher Pike
John Bunyan
Michael Grant
John Fowles
Barbara W. Tuchman
Patrick Rothfuss
Christopher Hitchens
Emma Donoghue
Lori Foster
S. E. Hinton
Douglas Hofstadter
Immanuel Kant
Katie MacAlister
Stanisław Lem
Will Durant
Mario Vargas Llosa
Margaret Mitchell
Euripides
S. M. Stirling
John Flanagan
Elizabeth Gaskell
Samuel R. Delany
Paulette Bourgeois
Michael Lewis
John Wyndham
Patricia Highsmith
John Connolly
Charles Darwin
Alistair MacLean
Rainer Maria Rilke
Alexandre Dumas père
Kenneth Grahame
Stephen Baxter
E. L. Doctorow
Steven Pinker
James Clavell
Peter Carey
Marjane Satrapi
Richard Bach
Chris Bohjalian
Jack L. Chalker
Megan McDonald
Joe Hill
James Baldwin
Flannery O'Connor
Faye Kellerman
James C. Dobson
Josh McDowell
Lindsey Davis
Beowulf Poet
Debbie Dadey
Armistead Maupin
Susan Elizabeth Phillips
Diana Palmer
Judith Viorst
Kristin Hannah
Erle Stanley Gardner
Marilynne Robinson
Suzy Kline
